,CN,HT,SITREE,common_name,scientific_name
197346,48717214010497,40.0,94.0,Pacific madrone,Arbutus menziesii
201618,15321526010497,20.0,82.0,Pacific madrone,Arbutus menziesii
201909,15652283010497,30.0,53.0,Pacific madrone,Arbutus menziesii
202074,15373625010497,49.0,78.0,Pacific madrone,Arbutus menziesii
197465,15305926010497,70.0,102.0,Pacific madrone,Arbutus menziesii
198079,15319472010497,42.0,107.0,Pacific madrone,Arbutus menziesii
201620,15321528010497,33.0,82.0,Pacific madrone,Arbutus menziesii
201958,15652333010497,37.0,53.0,Pacific madrone,Arbutus menziesii
201304,15457020010497,21.0,80.0,Pacific madrone,Arbutus menziesii
201314,15457030010497,39.0,80.0,Pacific madrone,Arbutus menziesii
195403,15338369010497,68.0,42.0,Pacific madrone,Arbutus menziesii
195312,15330611010497,33.0,74.0,Pacific madrone,Arbutus menziesii
197464,15305925010497,73.0,102.0,Pacific madrone,Arbutus menziesii
197360,48717245010497,21.0,94.0,Pacific madrone,Arbutus menziesii
196177,15337827010497,94.0,112.0,Pacific madrone,Arbutus menziesii
196651,48717080010497,58.0,95.0,Pacific madrone,Arbutus menziesii
197372,48717269010497,66.0,94.0,Pacific madrone,Arbutus menziesii
198011,15319181010497,57.0,61.0,Pacific madrone,Arbutus menziesii
202329,15385655010497,27.0,64.0,Pacific madrone,Arbutus menziesii
196163,15337813010497,32.0,112.0,Pacific madrone,Arbutus menziesii
196169,15337819010497,76.0,112.0,Pacific madrone,Arbutus menziesii
197697,15303146010497,47.0,89.0,Pacific madrone,Arbutus menziesii
204076,15298572010497,38.0,55.0,Pacific madrone,Arbutus menziesii
204195,15351838010497,41.0,117.0,Pacific madrone,Arbutus menziesii
206392,15382245010497,29.0,158.0,Pacific madrone,Arbutus menziesii
203130,15374492010497,40.0,87.0,Pacific madrone,Arbutus menziesii
197337,48717196010497,50.0,94.0,Pacific madrone,Arbutus menziesii
197424,15305885010497,58.0,102.0,Pacific madrone,Arbutus menziesii
202067,15373618010497,45.0,78.0,Pacific madrone,Arbutus menziesii
196560,15295369010497,43.0,92.0,Pacific madrone,Arbutus menziesii
195913,15336821010497,71.0,84.0,Pacific madrone,Arbutus menziesii
197463,15305924010497,46.0,102.0,Pacific madrone,Arbutus menziesii
201651,15321559010497,73.0,82.0,Pacific madrone,Arbutus menziesii
202260,15652674010497,51.0,43.0,Pacific madrone,Arbutus menziesii
195226,15331189010497,48.0,86.0,Pacific madrone,Arbutus menziesii
206705,15650149010497,56.0,87.0,Pacific madrone,Arbutus menziesii
195831,15296128010497,35.0,95.0,Pacific madrone,Arbutus menziesii
202091,15373642010497,25.0,78.0,Pacific madrone,Arbutus menziesii
195280,15330579010497,25.0,74.0,Pacific madrone,Arbutus menziesii
206398,15382251010497,52.0,158.0,Pacific madrone,Arbutus menziesii
195980,15297014010497,14.0,83.0,Pacific madrone,Arbutus menziesii
197336,48717194010497,61.0,94.0,Pacific madrone,Arbutus menziesii
196173,15337823010497,90.0,112.0,Pacific madrone,Arbutus menziesii
195308,15330607010497,45.0,74.0,Pacific madrone,Arbutus menziesii
197445,15305906010497,64.0,102.0,Pacific madrone,Arbutus menziesii
203112,15374474010497,59.0,87.0,Pacific madrone,Arbutus menziesii
200158,15367154010497,53.0,77.0,Pacific madrone,Arbutus menziesii
201911,15652285010497,35.0,53.0,Pacific madrone,Arbutus menziesii
198036,15319206010497,62.0,61.0,Pacific madrone,Arbutus menziesii
206379,15382232010497,48.0,158.0,Pacific madrone,Arbutus menziesii
204070,15298566010497,28.0,55.0,Pacific madrone,Arbutus menziesii
200707,15650904010497,66.0,49.0,incense-cedar,Calocedrus decurrens
208942,15344071010497,78.0,54.0,incense-cedar,Calocedrus decurrens
208037,15334492010497,125.0,86.0,incense-cedar,Calocedrus decurrens
210629,15324120010497,83.0,61.0,incense-cedar,Calocedrus decurrens
198620,15299088010497,28.0,51.0,incense-cedar,Calocedrus decurrens
209931,15376738010497,65.0,61.0,incense-cedar,Calocedrus decurrens
210430,15379461010497,42.0,54.0,incense-cedar,Calocedrus decurrens
208694,15301063010497,55.0,74.0,incense-cedar,Calocedrus decurrens
207907,15291987010497,39.0,51.0,incense-cedar,Calocedrus decurrens
201887,15375380010497,47.0,67.0,incense-cedar,Calocedrus decurrens
202381,15371198010497,10.0,61.0,incense-cedar,Calocedrus decurrens
205378,15355507010497,23.0,44.0,incense-cedar,Calocedrus decurrens
210416,15379447010497,49.0,54.0,incense-cedar,Calocedrus decurrens
206524,15382476010497,103.0,86.0,incense-cedar,Calocedrus decurrens
207886,15291966010497,44.0,51.0,incense-cedar,Calocedrus decurrens
199381,15315131010497,47.0,59.0,incense-cedar,Calocedrus decurrens
202397,15371214010497,9.0,61.0,incense-cedar,Calocedrus decurrens
198539,15300057010497,49.0,33.0,incense-cedar,Calocedrus decurrens
204123,15340872010497,54.0,73.0,incense-cedar,Calocedrus decurrens
202396,15371213010497,15.0,61.0,incense-cedar,Calocedrus decurrens
198531,15300049010497,31.0,33.0,incense-cedar,Calocedrus decurrens
211096,15455623010497,37.0,68.0,incense-cedar,Calocedrus decurrens
210409,15379440010497,121.0,54.0,incense-cedar,Calocedrus decurrens
210888,15379270010497,31.0,60.0,incense-cedar,Calocedrus decurrens
203287,15329431010497,17.0,125.0,incense-cedar,Calocedrus decurrens
205819,15361393010497,39.0,77.0,incense-cedar,Calocedrus decurrens
206104,15370404010497,19.0,64.0,incense-cedar,Calocedrus decurrens
200708,15650905010497,85.0,49.0,incense-cedar,Calocedrus decurrens
206496,15382448010497,42.0,86.0,incense-cedar,Calocedrus decurrens
205373,15355502010497,34.0,44.0,incense-cedar,Calocedrus decurrens
210066,15322745010497,41.0,59.0,incense-cedar,Calocedrus decurrens
198499,15299580010497,60.0,92.0,incense-cedar,Calocedrus decurrens
200769,15318241010497,12.0,90.0,incense-cedar,Calocedrus decurrens
204650,15310529010497,24.0,55.0,incense-cedar,Calocedrus decurrens
199199,15315384010497,21.0,66.0,incense-cedar,Calocedrus decurrens
210600,15324091010497,23.0,61.0,incense-cedar,Calocedrus decurrens
